"","SID","col","value"
"134","PEQ5","PEQ5",0
"135","PEQ6","PEQ5",0.26027397260274
"136","PEQ7","PEQ5",0.324675324675325
"137","PEQ8","PEQ5",0.361111111111111
"138","PEQ9","PEQ5",0.391304347826087
"139","SAL4","PEQ5",0.827586206896552
"140","SAL5","PEQ5",0.671641791044776
"141","SAL6","PEQ5",0.714285714285714
"142","SAL7","PEQ5",0.692307692307692
"143","SAL8","PEQ5",0.813333333333333
"144","SAL9","PEQ5",0.8
"145","NOR4","PEQ6",0.51063829787234
"146","NOR5","PEQ6",0.522727272727273
"147","NOR6","PEQ6",0.528089887640449
"148","NOR7","PEQ6",0.521739130434783
"149","NOR8","PEQ6",0.477272727272727
"150","NOR9","PEQ6",0.542168674698795
"151","PEQ4","PEQ6",0.295774647887324
"152","PEQ5","PEQ6",0.26027397260274
"153","PEQ6","PEQ6",0
"154","PEQ7","PEQ6",0.333333333333333
"155","PEQ8","PEQ6",0.311475409836066
"156","PEQ9","PEQ6",0.413793103448276
"157","SAL4","PEQ6",0.829787234042553
"158","SAL5","PEQ6",0.714285714285714
"159","SAL6","PEQ6",0.730769230769231
"160","SAL7","PEQ6",0.761194029850746
"161","SAL8","PEQ6",0.8125
"162","SAL9","PEQ6",0.755102040816326
"163","NOR4","PEQ7",0.489795918367347
"164","NOR5","PEQ7",0.521739130434783
"165","NOR6","PEQ7",0.483870967741935
"166","NOR7","PEQ7",0.458333333333333
"167","NOR8","PEQ7",0.478260869565217
"168","NOR9","PEQ7",0.494252873563218
"169","PEQ4","PEQ7",0.36
"170","PEQ5","PEQ7",0.324675324675325
"171","PEQ6","PEQ7",0.333333333333333
"172","PEQ7","PEQ7",0
"173","PEQ8","PEQ7",0.292307692307692
"174","PEQ9","PEQ7",0.354838709677419
"175","SAL4","PEQ7",0.764705882352941
"176","SAL5","PEQ7",0.6
"177","SAL6","PEQ7",0.642857142857143
"178","SAL7","PEQ7",0.633802816901408
"179","SAL8","PEQ7",0.764705882352941
"180","SAL9","PEQ7",0.735849056603774
"181","NOR4","PEQ8",0.56989247311828
"182","NOR5","PEQ8",0.586206896551724
"183","NOR6","PEQ8",0.545454545454545
"184","NOR7","PEQ8",0.56043956043956
"185","NOR8","PEQ8",0.540229885057471
"186","NOR9","PEQ8",0.560975609756098
"187","PEQ4","PEQ8",0.4
"188","PEQ5","PEQ8",0.361111111111111
"189","PEQ6","PEQ8",0.311475409836066
"190","PEQ7","PEQ8",0.292307692307692
"191","PEQ8","PEQ8",0
"192","PEQ9","PEQ8",0.333333333333333
"193","SAL4","PEQ8",0.826086956521739
"194","SAL5","PEQ8",0.745454545454545
"195","SAL6","PEQ8",0.647058823529412
"196","SAL7","PEQ8",0.696969696969697
"197","SAL8","PEQ8",0.746031746031746
"198","SAL9","PEQ8",0.75
"199","NOR4","PEQ9",0.533333333333333
"200","NOR5","PEQ9",0.523809523809524
"201","NOR6","PEQ9",0.505882352941176
"202","NOR7","PEQ9",0.522727272727273
"203","NOR8","PEQ9",0.547619047619048
"204","NOR9","PEQ9",0.443037974683544
"205","PEQ4","PEQ9",0.432835820895522
"206","PEQ5","PEQ9",0.391304347826087
"207","PEQ6","PEQ9",0.413793103448276
"208","PEQ7","PEQ9",0.354838709677419
"209","PEQ8","PEQ9",0.333333333333333
"210","PEQ9","PEQ9",0
"211","SAL4","PEQ9",0.720930232558139
"212","SAL5","PEQ9",0.769230769230769
"213","SAL6","PEQ9",0.666666666666667
"214","SAL7","PEQ9",0.714285714285714
"215","SAL8","PEQ9",0.666666666666667
"216","SAL9","PEQ9",0.733333333333333
"217","NOR4","SAL4",0.822784810126582
"218","NOR5","SAL4",0.835616438356164
"219","NOR6","SAL4",0.837837837837838
"220","NOR7","SAL4",0.792207792207792
"221","NOR8","SAL4",0.780821917808219
"222","NOR9","SAL4",0.794117647058823
"223","PEQ4","SAL4",0.785714285714286
"224","PEQ5","SAL4",0.827586206896552
"225","PEQ6","SAL4",0.829787234042553
"226","PEQ7","SAL4",0.764705882352941
"227","PEQ8","SAL4",0.826086956521739
"228","PEQ9","SAL4",0.720930232558139
"229","SAL4","SAL4",0
"230","SAL5","SAL4",0.51219512195122
"231","SAL6","SAL4",0.459459459459459
"232","SAL7","SAL4",0.538461538461538
"233","SAL8","SAL4",0.551020408163265
"234","SAL9","SAL4",0.470588235294118
"235","NOR4","SAL5",0.772727272727273
"236","NOR5","SAL5",0.829268292682927
"237","NOR6","SAL5",0.831325301204819
"238","NOR7","SAL5",0.767441860465116
"239","NOR8","SAL5",0.75609756097561
"240","NOR9","SAL5",0.844155844155844
"241","PEQ4","SAL5",0.661538461538462
"242","PEQ5","SAL5",0.671641791044776
"243","PEQ6","SAL5",0.714285714285714
"244","PEQ7","SAL5",0.6
"245","PEQ8","SAL5",0.745454545454545
"246","PEQ9","SAL5",0.769230769230769
