"","RSID","CSID","mean"
"1","NOR","PEQ",0.55982566447437
"2","NOR","SAL",0.795266083466571
"115","PEQ","NOR",0.55982566447437
"118","PEQ","SAL",0.822494700952038
"225","SAL","PEQ",0.822494700952038
"227","SAL","NOR",0.795266083466571
