"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd_reported","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","sample_start_time_datum_cd"
"17","USGS","01189000",2016-05-20,"14:50",NA,NA,"EST","K",NA,"WS",NA,NA,"0","94","4","9","9",NA,"00671",NA,0.642,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16148A",20160531,NA,"USGSNWQL",2016-05-20 19:50:00,"UTC"
"18","USGS","01189000",2016-05-20,"14:50",NA,NA,"EST","K",NA,"WS",NA,NA,"0","94","4","9","9",NA,"62855",NA,2.87,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP147A",20160526,NA,"USGSNWQL",2016-05-20 19:50:00,"UTC"
"19","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00605",NA,0.63,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-10 13:40:00,"UTC"
"20","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00608",NA,0.05,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16172A",20160620,NA,"USGSNWQL",2016-06-10 13:40:00,"UTC"
"21","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00613",NA,0.008,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16172A",20160620,NA,"USGSNWQL",2016-06-10 13:40:00,"UTC"
"22","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00618",NA,2.68,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-10 13:40:00,"UTC"
"23","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00631",NA,2.69,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316173A",20160621,NA,"USGSNWQL",2016-06-10 13:40:00,"UTC"
"24","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00660",NA,2.88,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-10 13:40:00,"UTC"
"25","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00665",NA,1.03,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW181A",20160630,NA,"USGSNWQL",2016-06-10 13:40:00,"UTC"
"26","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00671",NA,0.941,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16172A",20160620,NA,"USGSNWQL",2016-06-10 13:40:00,"UTC"
"27","USGS","01189000",2016-06-10,"08:40",NA,NA,"EST","K","USGS","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"62855",NA,3.36,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP172A",20160621,NA,"USGSNWQL",2016-06-10 13:40:00,"UTC"
"28","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00605",NA,3.3,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-17 12:20:00,"UTC"
"29","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00608",NA,0.05,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16179A",20160627,NA,"USGSNWQL",2016-06-17 12:20:00,"UTC"
"30","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00613",NA,0.014,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16179A",20160627,NA,"USGSNWQL",2016-06-17 12:20:00,"UTC"
"31","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00618",NA,0.753,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-17 12:20:00,"UTC"
"32","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00631",NA,0.767,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316179A",20160627,NA,"USGSNWQL",2016-06-17 12:20:00,"UTC"
"33","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00660",NA,2.95,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-17 12:20:00,"UTC"
"34","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00665",NA,1.07,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW181A",20160630,NA,"USGSNWQL",2016-06-17 12:20:00,"UTC"
"35","USGS","01189000",2016-06-17,"07:20",NA,NA,"EST","K","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9","MM-47318A","00671",NA,0.962,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16179A",20160627,NA,"USGSNWQL",2016-06-17 12:20:00,"UTC"
